Name                                                   Doc
base_CircularApertureFlux_50_0_flag                    General Failure Flag
base_CircularApertureFlux_50_0_flag_apertureTruncated  aperture did not fit within measurement image
base_CircularApertureFlux_70_0_instFlux                instFlux within 70.000000-pixel aperture
base_CircularApertureFlux_70_0_instFluxErr             1-sigma instFlux uncertainty
base_CircularApertureFlux_70_0_flag                    General Failure Flag
base_CircularApertureFlux_70_0_flag_apertureTruncated  aperture did not fit within measurement image
base_GaussianFlux_instFlux                             instFlux from Gaussian Flux algorithm
base_GaussianFlux_instFluxErr                          1-sigma instFlux uncertainty
base_GaussianFlux_flag                                 General Failure Flag
base_PeakLikelihoodFlux_instFlux                       instFlux from PeakLikelihood Flux algorithm
base_PeakLikelihoodFlux_instFluxErr                    1-sigma instFlux uncertainty
base_PeakLikelihoodFlux_flag                           General Failure Flag
base_PixelFlags_flag                                   General failure flag, set if anything went wrong
base_PixelFlags_flag_offimage                          Source center is off image
base_PixelFlags_flag_edge                              Source is outside usable exposure region (masked EDGE or NO_DATA)
base_PixelFlags_flag_interpolated                      Interpolated pixel in the Source footprint
base_PixelFlags_flag_saturated                         Saturated pixel in the Source footprint
base_PixelFlags_flag_cr                                Cosmic ray in the Source footprint
base_PixelFlags_flag_bad                               Bad pixel in the Source footprint
base_PixelFlags_flag_suspect                           Source''s footprint includes suspect pixels
base_PixelFlags_flag_interpolatedCenter                Interpolated pixel in the Source center
base_PixelFlags_flag_saturatedCenter                   Saturated pixel in the Source center
base_PixelFlags_flag_crCenter                          Cosmic ray in the Source center
base_PixelFlags_flag_suspectCenter                     Source''s center is close to suspect pixels
base_PsfFlux_instFlux                                  instFlux derived from linear least-squares fit of PSF model
base_PsfFlux_instFluxErr                               1-sigma instFlux uncertainty
base_PsfFlux_area                                      effective area of PSF
base_PsfFlux_flag                                      General Failure Flag
base_PsfFlux_flag_noGoodPixels                         not enough non-rejected pixels in data to attempt the fit
base_PsfFlux_flag_edge                                 object was too close to the edge of the image to use the full PSF model
ip_diffim_NaiveDipoleFlux_flag                         general failure flag, set if anything went wrong
ip_diffim_NaiveDipoleFlux_pos_flag                     failure flag for positive, set if anything went wrong
ip_diffim_NaiveDipoleFlux_neg_flag                     failure flag for negative, set if anything went wrong
ip_diffim_NaiveDipoleFlux_pos_instFlux                 raw flux counts: positive lobe
ip_diffim_NaiveDipoleFlux_pos_instFluxErr              1-sigma instFlux uncertainty
ip_diffim_NaiveDipoleFlux_neg_instFlux                 raw flux counts: negative lobe
ip_diffim_NaiveDipoleFlux_neg_instFluxErr              1-sigma instFlux uncertainty
ip_diffim_NaiveDipoleFlux_npos                         number of positive pixels
ip_diffim_NaiveDipoleFlux_nneg                         number of negative pixels
ip_diffim_PsfDipoleFlux_flag                           general failure flag, set if anything went wrong
ip_diffim_PsfDipoleFlux_pos_flag                       failure flag for positive, set if anything went wrong
ip_diffim_PsfDipoleFlux_neg_flag                       failure flag for negative, set if anything went wrong
ip_diffim_PsfDipoleFlux_pos_instFlux                   jointly fitted psf flux counts: positive lobe
ip_diffim_PsfDipoleFlux_pos_instFluxErr                1-sigma instFlux uncertainty
ip_diffim_PsfDipoleFlux_neg_instFlux                   jointly fitted psf flux counts: negative lobe
ip_diffim_PsfDipoleFlux_neg_instFluxErr                1-sigma instFlux uncertainty
ip_diffim_PsfDipoleFlux_chi2dof                        chi2 per degree of freedom of fit
ip_diffim_PsfDipoleFlux_pos_centroid_x                 psf fitted center of positive lobe
ip_diffim_PsfDipoleFlux_pos_centroid_y                 psf fitted center of positive lobe
ip_diffim_PsfDipoleFlux_pos_centroid_xErr              1-sigma uncertainty on x position
ip_diffim_PsfDipoleFlux_pos_centroid_yErr              1-sigma uncertainty on y position
ip_diffim_PsfDipoleFlux_neg_centroid_x                 psf fitted center of negative lobe
ip_diffim_PsfDipoleFlux_neg_centroid_y                 psf fitted center of negative lobe
ip_diffim_PsfDipoleFlux_neg_centroid_xErr              1-sigma uncertainty on x position
ip_diffim_PsfDipoleFlux_neg_centroid_yErr              1-sigma uncertainty on y position
ip_diffim_PsfDipoleFlux_centroid_x                     average of negative and positive lobe positions
ip_diffim_PsfDipoleFlux_centroid_y                     average of negative and positive lobe positions
ip_diffim_PsfDipoleFlux_centroid_xErr                  1-sigma uncertainty on x position
ip_diffim_PsfDipoleFlux_centroid_yErr                  1-sigma uncertainty on y position
ip_diffim_ClassificationDipole_value                   Set to 1 for dipoles, else 0.
ip_diffim_ClassificationDipole_flag                    Set to 1 for any fatal failure.
ip_diffim_DipoleFit_pos_instFlux                       Dipole pos lobe flux
ip_diffim_DipoleFit_pos_instFluxErr                    1-sigma uncertainty for pos dipole flux
ip_diffim_DipoleFit_pos_centroid_x                     Dipole pos lobe centroid
ip_diffim_DipoleFit_pos_centroid_y                     Dipole pos lobe centroid
ip_diffim_DipoleFit_neg_instFlux                       Dipole neg lobe flux
ip_diffim_DipoleFit_neg_instFluxErr                    1-sigma uncertainty for neg dipole flux
ip_diffim_DipoleFit_neg_centroid_x                     Dipole neg lobe centroid
ip_diffim_DipoleFit_neg_centroid_y                     Dipole neg lobe centroid
ip_diffim_DipoleFit_centroid_x                         Dipole centroid
ip_diffim_DipoleFit_centroid_y                         Dipole centroid
ip_diffim_DipoleFit_instFlux                           Dipole overall flux
ip_diffim_DipoleFit_orientation                        Dipole orientation
ip_diffim_DipoleFit_separation                         Pixel separation between positive and negative lobes of dipole
ip_diffim_DipoleFit_chi2dof                            Chi2 per degree of freedom of dipole fit
ip_diffim_DipoleFit_signalToNoise                      Estimated signal-to-noise of dipole fit
ip_diffim_DipoleFit_flag_classification                Flag indicating diaSource is classified as a dipole
ip_diffim_DipoleFit_flag_classificationAttempted       Flag indicating diaSource was attempted to be classified as a dipole
ip_diffim_DipoleFit_flag                               General failure flag for dipole fit
ip_diffim_DipoleFit_flag_edge                          Flag set when dipole is too close to edge of image
ip_diffim_forced_PsfFlux_instFlux                      Forced PSF flux measured on the direct image.
ip_diffim_forced_PsfFlux_instFluxErr                   Forced PSF flux error measured on the direct image.
ip_diffim_forced_PsfFlux_area                          Forced PSF flux effective area of PSF.
ip_diffim_forced_PsfFlux_flag                          Forced PSF flux general failure flag.
ip_diffim_forced_PsfFlux_flag_noGoodPixels             Forced PSF flux not enough non-rejected pixels in data to attempt the fit.
ip_diffim_forced_PsfFlux_flag_edge                     Forced PSF flux object was too close to the edge of the image to use the full PSF model.
